epoch,train_loss,train_heat,train_coord,train_conf,train_count,train_count_acc,val_loss,val_heat,val_coord,val_conf,val_count,val_count_acc,val_xyz_mm,lr,time_s
1,7.340931,0.576442,1.404082,0.705133,1.661509,0.195,5.727875,0.482346,1.01769,0.682523,1.622862,0.2025,55.9162,0.00028000000000000003,659.2
2,6.531904,0.403557,1.214372,0.691988,1.639243,0.1825,5.677657,0.308943,1.006111,0.687262,1.650182,0.2025,54.6521,0.00046,690.4
3,6.213258,0.247418,1.141084,0.687448,1.64379,0.1913,5.681927,0.180788,1.011206,0.687894,1.618927,0.215,54.8637,0.00064,676.7
4,6.026308,0.147291,1.099173,0.684432,1.627718,0.205,5.615454,0.115104,0.995122,0.690042,1.621598,0.215,56.6669,0.0008200000000000001,602.4
5,5.864859,0.103919,1.060184,0.684609,1.620926,0.205,5.694334,0.092681,1.019275,0.682954,1.608409,0.2475,51.9308,0.001,605.0
6,5.689219,0.090734,1.018069,0.682916,1.60458,0.2206,5.468815,0.087022,0.961047,0.686943,1.605719,0.255,56.9337,0.001,578.9
7,5.479738,0.086989,0.968188,0.680826,1.56472,0.2469,5.254703,0.083843,0.91055,0.680193,1.617098,0.2075,56.5252,0.001,560.5
8,5.477172,0.085456,0.968452,0.679427,1.559609,0.2719,5.282364,0.084006,0.920472,0.679228,1.547645,0.27,58.5722,0.001,569.6
9,5.365883,0.08465,0.943096,0.676122,1.537724,0.2725,5.233552,0.082759,0.910704,0.675638,1.533559,0.2675,57.9992,0.001,561.2
10,5.301593,0.084225,0.927837,0.675546,1.523408,0.2694,5.385992,0.082776,0.945312,0.677246,1.600547,0.245,56.9029,0.001,555.6
11,5.275904,0.083835,0.927233,0.668416,1.462326,0.3,5.483389,0.082699,0.973243,0.678183,1.491076,0.3,55.6448,0.001,554.6
12,5.263431,0.083538,0.928491,0.663367,1.413808,0.3362,5.21104,0.081852,0.921278,0.655356,1.363735,0.38,57.0446,0.001,552.5
13,5.223748,0.082967,0.924449,0.654458,1.375763,0.3638,5.163487,0.081511,0.911863,0.653261,1.329405,0.385,56.7033,0.001,555.9
14,5.167616,0.082571,0.918795,0.642817,1.306917,0.3919,5.322998,0.081475,0.949606,0.64969,1.428849,0.375,56.4086,0.001,559.3
15,5.130712,0.082312,0.914275,0.637145,1.256799,0.4081,5.104113,0.080849,0.908442,0.637638,1.228532,0.3925,55.8545,0.001,559.5
16,5.080328,0.082081,0.905685,0.631653,1.223189,0.4169,5.110747,0.081358,0.906637,0.637704,1.322239,0.3825,56.4477,0.001,606.7
17,5.083499,0.082028,0.907901,0.629237,1.217992,0.4044,5.068774,0.080911,0.901321,0.633411,1.243579,0.385,58.0699,0.001,834.0
